Player/Position,Player,Position,Season ,Team,Draw WAR,EV Shoot WAR,EV TOI,EVD WAR,EVO WAR,Pens WAR,PP Shoot WAR,PP TOI,PPO WAR,Season,SH Shoot WAR,SH TOI,SHD WAR,Take WAR,TOI,WAR
JOEL ERIKSSON EKF,JOEL ERIKSSON EK,F,mistake,MIN,0.184774981,0.235306309,970.416666667,0.466663059,0.614061342,0.573623681,0.842352274,227.716666667,0.433713686,20212022,-0.068063009,164.3,-0.103444254,0.388848700,1362.433333333,2.994213088
JACCOB SLAVIND,JACCOB SLAVIN,D,mistake,CAR,-0.179112433,-0.473441838,1434.183333333,1.328087930,0.827953413,0.565806383,-0.004994135,107.816666667,0.149031877,20212022,-0.049031425,251.916666667,0.629002563,0.744918816,1793.916666667,2.972414768
ANTHONY DUCLAIRF,ANTHONY DUCLAIR,F,mistake,FLA,0.253934363,1.395807138,892.916666667,-0.950377834,1.009998249,0.488837469,0.808638877,186.816666667,0.213634880,20212022,-0.035572179,8.166666667,0.005042999,0.234903106,1087.9,2.936009598
KYLE CONNORF,KYLE CONNOR,F,mistake,WPG,-0.636539427,2.436713560,1272.85,-1.316223043,1.026776170,0.208367600,-0.036956967,257.966666667,0.614465590,20212022,0.000886588,109.716666667,-0.014650985,0.844907027,1640.533333333,2.919378514
PHILLIP DANAULTF,PHILLIP DANAULT,F,mistake,L.A,-0.315119300,1.615186868,1095.983333333,-0.279870517,1.953945763,-0.035817610,-0.431370421,158.900000000,0.309919026,20212022,-0.096719990,130.8,-0.157824310,0.279301689,1385.683333333,2.877448808
MATS ZUCCARELLOF,MATS ZUCCARELLO,F,mistake,MIN,0.063267159,1.719711671,1017.033333333,-0.103513257,0.363451647,0.306554206,0.356987172,213.916666667,0.153661345,20212022,0,5.700000000,0.001828318,0.243287048,1236.65,2.798681103
JOE PAVELSKIF,JOE PAVELSKI,F,mistake,DAL,-0.045661326,0.015900553,1183.033333333,0.671703759,0.728748045,0.501496493,0.576386754,220.1,0.339430871,20212022,-0.028989095,40.916666667,-0.008520026,0.547157818,1444.05,2.796157353
DAVID PERRONF,DAVID PERRON,F,mistake,STL,-0.052988567,0.848211429,920.466666667,0.458516380,0.013872225,-0.073412976,1.024107262,180.016666667,0.514666342,20212022,0,0.383333333,-6.087267019e-06,-0.020424409,1100.866666667,2.785954574
KEVIN FIALAF,KEVIN FIALA,F,mistake,MIN,0.438961495,1.429668451,1086.066666667,-0.248149926,1.355900021,0.499164801,-0.167975561,217.683333333,-0.195789116,20212022,0.121220878,74.700000000,-0.024200772,0.060203306,1378.45,2.769838777
TYLER BERTUZZIF,TYLER BERTUZZI,F,mistake,DET,0.216200026,1.263744009,1056.816666667,-0.215860646,1.212175868,0.533982872,-0.172451851,196.35,0.022879487,20212022,0.065499952,49.433333333,0.058364768,0.317782846,1302.6,2.768334458
JOHN CARLSOND,JOHN CARLSON,D,mistake,WSH,-0.059556795,0.226596186,1331.4,0.351037555,0.786498865,0.482985759,0.812839563,302.183333333,-0.021319600,20212022,-0.011926399,131.85,0.139897489,0.542542554,1765.433333333,2.766609419
NIKITA KUCHEROVF,NIKITA KUCHEROV,F,mistake,T.B,0.085409545,1.151060433,728.783333333,-0.779946360,0.652868703,0.219872310,0.602911214,179.833333333,0.904247002,20212022,0,0.166666667,-2.477071912e-05,0.134462765,908.783333333,2.750988532
