Player/Position,Player,Position,Season ,Team,Draw WAR,EV Shoot WAR,EV TOI,EVD WAR,EVO WAR,Pens WAR,PP Shoot WAR,PP TOI,PPO WAR,Season,SH Shoot WAR,SH TOI,SHD WAR,Take WAR,TOI,WAR
ANTHONY DUCLAIRF,ANTHONY DUCLAIR,F,mistake,FLA,0.138053060,1.041134954,673.316666667,-0.554471098,0.675744132,0.366365964,0.709148842,127.816666667,0.158776219,20212022,-0.035572179,7.416666667,0.005715655,0.228312904,808.550000000,2.366842489
VALERI NICHUSHKINF,VALERI NICHUSHKIN,F,mistake,COL,-0.026390652,0.403473185,601.866666667,0.325365840,0.716545563,0.214744484,0.313382095,74.633333333,-0.055727018,20212022,0.266515595,88.016666667,0.172248301,0.241135137,764.516666667,2.356548045
DAVID PERRONF,DAVID PERRON,F,mistake,STL,0.019728122,0.675379024,629.283333333,0.354964940,-0.096603170,0.026591709,1.017840346,118.466666667,0.310097888,20212022,0,0.383333333,-4.382102093e-06,0.006863588,748.133333333,2.288266355
TOMAS HERTLF,TOMAS HERTL,F,mistake,S.J,-0.208344175,1.452815716,936.016666667,0.018709507,0.738008485,0.192083081,-0.145944192,160.1,0.181289067,20212022,-0.166138485,86.266666667,-0.019523221,0.400427256,1182.383333333,2.251299957
WILLIAM NYLANDERF,WILLIAM NYLANDER,F,mistake,TOR,-0.241635691,0.590881379,910.1,-0.363325835,0.863205590,0.151744423,0.306146244,171.500000000,0.741133224,20212022,-0.040050534,21.316666667,-0.001849006,0.393380114,1102.916666667,2.247885486
ANDERS LEEF,ANDERS LEE,F,mistake,NYI,-0.265020230,0.990905199,732.9,-0.463978778,0.838433527,-0.044398661,0.639556844,128.166666667,0.241040102,20212022,0,0.666666667,-5.361509640e-05,0.220621569,861.733333333,2.201504618
ANDRE BURAKOVSKYF,ANDRE BURAKOVSKY,F,mistake,COL,-0.126495614,1.517853858,835.450000000,-0.267887102,0.531942483,0.108976919,0.410578944,119.616666667,-0.100813266,20212022,0,0.05,-5.227337902e-06,0.235472533,955.116666667,2.200646609
JONATHAN MARCHESSAULTF,JONATHAN MARCHESSAULT,F,mistake,VGK,-0.316875931,0.898858852,837.366666667,-0.059602854,0.891950684,-0.153431543,0.265979938,122.533333333,0.335796096,20212022,0,0.566666667,1.205254914e-05,0.163444388,960.466666667,2.179563226
JACK HUGHESF,JACK HUGHES,F,mistake,N.J,0.076146370,0.649576242,667.383333333,-0.053481759,0.544145344,0.515534310,0.342322035,115,0.159805070,20212022,0,1.183333333,0.000162165,0.439387940,783.566666667,2.158063408
CHARLIE MCAVOYD,CHARLIE MCAVOY,D,mistake,BOS,0.123608896,-0.104816409,1102.133333333,0.825544463,0.458200304,0.214863126,0.531027299,179.45,0.121676429,20212022,-0.000538295,120.85,0.110350029,0.091254229,1402.433333333,2.156306946
NAZEM KADRIF,NAZEM KADRI,F,mistake,COL,0.294836054,0.570347770,836.25,0.107327897,0.691806012,0.301037765,-0.059543736,213.85,0.538867953,20212022,-0.033149929,31.35,-0.001869886,0.006201711,1081.450000000,2.114823845
JOE PAVELSKIF,JOE PAVELSKI,F,mistake,DAL,-0.107489801,0.429279588,856.1,0.244244367,0.400489212,0.225310554,0.577993305,169.85,0.241323740,20212022,-0.028989095,35.833333333,0.020763220,0.332800355,1061.783333333,2.110414892
DEVON TOEWSD,DEVON TOEWS,D,mistake,COL,-0.193370391,0.729346384,1011.383333333,0.725866798,0.139109775,0.189838386,0.205665597,87.316666667,0.031917331,20212022,-0.052183683,143.7,0.132805224,0.383208777,1242.4,2.102365813
