Player + Season,Player,Rights,Position,Leagues,Teams,Season ,Draft Year,Age,DY-1 NHLe,NHLe,Star %,Make %
https://www.eliteprospects.com/player/487153/mason-wheelerMason Wheeler2022,Mason Wheeler,Unsigned,D,ushl,Tri-City Storm,2022,2,19.96,1.9,2.44,0.11%,0.22%
https://www.eliteprospects.com/player/221337/emil-oksanenEmil Oksanen2022,Emil Oksanen,Unsigned,F,allsvenskan,Mora IK,2022,5,22.97,8.1,7.2,0.11%,0.70%
https://www.eliteprospects.com/player/514455/ilya-borisenkoIlya Borisenko2022,Ilya Borisenko,Unsigned,F,mhl,Mamonty Yugry,2022,3,20.24,1.26,0.84,0.11%,0.57%
https://www.eliteprospects.com/player/625744/matvei-utkinMatvei Utkin2022,Matvei Utkin,Unsigned,F,mhl,Chaika Nizhny Novgorod,2022,2,19.2,1.19,6.38,0.11%,0.76%
https://www.eliteprospects.com/player/793866/brady-strandBrady Strand2022,Brady Strand,Unsigned,F,ushs-mn,Park High,2022,0,17.74,0.48,3.24,0.11%,0.71%
https://www.eliteprospects.com/player/806373/cole-delamareCole Delamare2022,Cole Delamare,Unsigned,D,mmhl,Parkland Rangers U18 AAA,2022,0,17.15,0.15,0.29,0.11%,0.21%
https://www.eliteprospects.com/player/643980/blake-mcnallyBlake Mcnally2022,Blake Mcnally,Unsigned,F,gojhl,Leamington Flyers,2022,1,18.14,1.06,1,0.11%,0.48%
https://www.eliteprospects.com/player/512513/mack-stewartMack Stewart2022,Mack Stewart,Unsigned,F,eihl,Belfast Giants,2022,0,17.24,,3.21,0.11%,0.21%
https://www.eliteprospects.com/player/405922/keiran-gallantKeiran Gallant2022,Keiran Gallant,Unsigned,F,qmjhl,Charlottetown Islanders,2022,2,19.24,,3.8,0.11%,0.10%
https://www.eliteprospects.com/player/343147/marcus-nylanderMarcus Nylander2022,Marcus Nylander,Unsigned,F,division-1,Segeltorps IF,2022,3,20.22,1.55,0.43,0.11%,0.11%
https://www.eliteprospects.com/player/313722/denis-kuyanovDenis Kuyanov2022,Denis Kuyanov,Unsigned,F,kazakhstan,totals,2022,5,23,1.51,8.07,0.11%,0.35%
https://www.eliteprospects.com/player/628887/ilmari-jaaskelainenIlmari Jaaskelainen2022,Ilmari Jaaskelainen,Unsigned,F,u18 sm-sarja,Sport U18,2022,1,18.25,0.59,1.96,0.11%,0.45%
https://www.eliteprospects.com/player/396672/pyry-puolakkaPyry Puolakka2022,Pyry Puolakka,Unsigned,F,u20 sm-liiga,Kiekko-Espoo U20,2022,3,20.05,1.38,3.1,0.11%,0.37%
https://www.eliteprospects.com/player/381857/samuel-dubeSamuel Dube2022,Samuel Dube,Unsigned,F,czech u18,RB Hockey Akademie U18,2022,2,19.3,2.24,2.31,0.11%,0.10%
https://www.eliteprospects.com/player/418452/cullen-fergusonCullen Ferguson2022,Cullen Ferguson,Unsigned,D,ncaa,Union College,2022,3,20.58,,4.29,0.11%,0.09%
https://www.eliteprospects.com/player/486859/jonathan-backlundJonathan Backlund2022,Jonathan Backlund,Unsigned,F,"division-2, j20-elit, superelit","Grums IK, totals, Farjestad BK J20",2022,1,18.81,1.33,1.82,0.11%,0.27%
https://www.eliteprospects.com/player/640286/andras-mihalikAndras Mihalik2022,Andras Mihalik,Unsigned,F,erste-liga,DVTK Jegesmedvek,2022,1,18.37,0.2,2.18,0.11%,0.28%
https://www.eliteprospects.com/player/382174/simon-stowasserSimon Stowasser2022,Simon Stowasser,Unsigned,D,del,Fischtown Pinguins,2022,2,19.66,0.35,2.18,0.11%,0.06%
https://www.eliteprospects.com/player/536537/chase-barlowChase Barlow2022,Chase Barlow,Unsigned,D,vijhl,Victoria Cougars,2022,2,19.32,0.29,1.08,0.11%,0.09%
https://www.eliteprospects.com/player/475205/tyson-grossTyson Gross2022,Tyson Gross,Unsigned,F,ushl,Fargo Force,2022,1,18.98,2.51,4.08,0.11%,0.36%
https://www.eliteprospects.com/player/611126/josh-bromanJosh Broman2022,Josh Broman,Unsigned,F,naphl-18u,Lake County Vipers 18U AA,2022,0,17.36,,3.57,0.11%,0.31%
https://www.eliteprospects.com/player/342491/teodor-nystromTeodor Nystrom2022,Teodor Nystrom,Unsigned,D,division-1,Hanhals IF,2022,4,21.24,0.19,0.26,0.11%,0.03%
